prof,trt,site,SOC_pct,SOC_stock,Lower_cm,Upper_cm,BD_g_cm3,ID,SOM_pct
0-2.5,CT,Hays,1.724545455,5.2,2.5,0,1.206114918,CT_Hays,3.276636365
0-2.5,CT,Hutchinson,2.300228833,6.5,2.5,0,1.130322324,CT_Hutchinson,4.370434783
0-2.5,NT,Hays,1.202727273,3.6,2.5,0,1.197278911,NT_Hays,2.285181819
0-2.5,NT,Hutchinson,1.233409611,3.6,2.5,0,1.167495362,NT_Hutchinson,2.343478261
2.5-5,CT,Hays,1.482727273,5.1,5,2.5,1.375843041,CT_Hays,2.817181819
2.5-5,CT,Hutchinson,1.473684211,4.6,5,2.5,1.248571428,CT_Hutchinson,2.800000001
2.5-5,NT,Hays,1.304545455,4.6,5,2.5,1.410452961,NT_Hays,2.478636365
2.5-5,NT,Hutchinson,1.313501144,4.1,5,2.5,1.248571429,NT_Hutchinson,2.495652174
10-May,CT,Hays,1.170909091,9.7,10,5,1.656832298,CT_Hays,2.224727273
10-May,CT,Hutchinson,1.178947368,8.7,10,5,1.475892858,CT_Hutchinson,2.239999999
10-May,NT,Hays,1.304545455,10.5,10,5,1.609756097,NT_Hays,2.478636365
10-May,NT,Hutchinson,1.409610984,10.1,10,5,1.433019481,NT_Hutchinson,2.67826087
15-Oct,CT,Hays,1.043636364,9,15,10,1.724738675,CT_Hays,1.982909092
15-Oct,CT,Hutchinson,1.172540046,8.5,15,10,1.449843872,CT_Hutchinson,2.227826087
15-Oct,NT,Hays,1.043636364,9,15,10,1.724738675,NT_Hays,1.982909092
15-Oct,NT,Hutchinson,1.419221968,10.7,15,10,1.507868429,NT_Hutchinson,2.696521739
15-20,CT,Hays,0.992727273,8.2,20,15,1.652014652,CT_Hays,1.886181818
15-20,CT,Hutchinson,1.1597254,8.4,20,15,1.448618785,CT_Hutchinson,2.20347826
15-20,NT,Hays,0.973636364,9.5,20,15,1.951447246,NT_Hays,1.849909091
15-20,NT,Hutchinson,1.287871854,9.5,20,15,1.475302061,NT_Hutchinson,2.446956523
20-30,CT,Hays,0.820909091,14,30,20,1.705426357,CT_Hays,1.559727273
20-30,CT,Hutchinson,1.326315789,19.4,30,20,1.462698413,CT_Hutchinson,2.519999999
20-30,NT,Hays,0.827272727,12.6,30,20,1.523076923,NT_Hays,1.571818182
20-30,NT,Hutchinson,1.281464531,19.7,30,20,1.537303571,NT_Hutchinson,2.434782609
30-40,CT,Hays,0.63,10.9,40,30,1.73015873,CT_Hays,1.197
30-40,CT,Hutchinson,1.025171625,15.4,40,30,1.5021875,CT_Hutchinson,1.947826088
30-40,NT,Hays,0.63,11.4,40,30,1.80952381,NT_Hays,1.197
30-40,NT,Hutchinson,1.146910755,18.2,40,30,1.586871509,NT_Hutchinson,2.179130435
40-60,CT,Hays,0.515454546,18.1,60,40,1.755731922,CT_Hays,0.979363636
40-60,CT,Hutchinson,0.685583524,21.4,60,40,1.560714286,CT_Hutchinson,1.302608696
40-60,NT,Hays,0.477272727,17.6,60,40,1.843809524,NT_Hays,0.906818182
40-60,NT,Hutchinson,0.775286041,25.1,60,40,1.618757379,NT_Hutchinson,1.473043478
60-80,CT,Hays,0.375454546,13.3,80,60,1.77118644,CT_Hays,0.713363636
60-80,CT,Hutchinson,0.608695652,19.2,80,60,1.577142857,CT_Hutchinson,1.156521739
60-80,NT,Hays,0.394545455,14.1,80,60,1.78686636,NT_Hays,0.749636364
60-80,NT,Hutchinson,0.486956522,15.9,80,60,1.632589286,NT_Hutchinson,0.925217391
80-100,CT,Hays,0.330909091,11.4,100,80,1.722527473,CT_Hays,0.628727273
80-100,CT,Hutchinson,0.403661327,12.6,100,80,1.560714286,CT_Hutchinson,0.766956522
80-100,NT,Hays,0.343636364,11.8,100,80,1.716931217,NT_Hays,0.652909091
80-100,NT,Hutchinson,0.339588101,11.4,100,80,1.678504043,NT_Hutchinson,0.645217391
