"site","trt","prof","SOC_pct","BD_g_cm3","SOM_pct","Upper_cm","Lower_cm","ID"
"122KY","PT","0-5cm",1.107913669,1.196869872,2.105035971,0,5,"MLRA 122KY_PT"
"122KY","PT","5-10 cm",1.091127098,1.177937086,2.073141487,5,10,"MLRA 122KY_PT"
"122KY","PT","10-30 cm",0.990407674,1.2031094,1.88177458,10,30,"MLRA 122KY_PT"
"122KY","PT","30-50cm",0.788968825,1.725903022,1.499040767,30,50,"MLRA 122KY_PT"
"122KY","PT","50-60cm",0.587529976,1.620791514,1.116306954,50,60,"MLRA 122KY_PT"
"122KY","NT","0-5cm",2.836930456,1.538876124,5.390167866,0,5,"MLRA 122KY_NT"
"122KY","NT","5-10 cm",1.611510791,1.739287256,3.061870504,5,10,"MLRA 122KY_NT"
"122KY","NT","10-30 cm",0.956834532,1.675226728,1.817985612,10,30,"MLRA 122KY_NT"
"122KY","NT","30-50cm",0.45323741,1.499138006,0.861151079,30,50,"MLRA 122KY_NT"
"122KY","NT","50-60cm",0.402877698,1.535289952,0.765467626,50,60,"MLRA 122KY_NT"
"125KY","PT","0-5cm",1.452734646,1.507407408,2.760195828,0,5,"MLRA 125KY_PT"
"125KY","PT","5-10 cm",1.48463221,1.577777778,2.820801198,5,10,"MLRA 125KY_PT"
"125KY","PT","10-30 cm",1.614495164,1.622222222,3.067540812,10,30,"MLRA 125KY_PT"
"125KY","PT","30-50cm",1.524982627,1.696296296,2.897466992,30,50,"MLRA 125KY_PT"
"125KY","PT","50-60cm",0.551588613,1.7,1.048018364,50,60,"MLRA 125KY_PT"
"125KY","NT","0-5cm",1.703250134,1.388888888,3.236175254,0,5,"MLRA 125KY_NT"
"125KY","NT","5-10 cm",1.501418302,1.718518518,2.852694774,5,10,"MLRA 125KY_NT"
"125KY","NT","10-30 cm",1.230249143,1.766666666,2.337473371,10,30,"MLRA 125KY_NT"
"125KY","NT","30-50cm",0.522521958,1.792592592,0.99279172,30,50,"MLRA 125KY_NT"
"125KY","NT","50-60cm",0.31769973,1.766666666,0.603629487,50,60,"MLRA 125KY_NT"
"99OH","PT","0-5cm",1.768512589,1.100315998,3.360173918,0,5,"MLRA 99OH_PT"
"99OH","PT","5-10 cm",1.805564772,1.440518082,3.430573067,5,10,"MLRA 99OH_PT"
"99OH","PT","10-30 cm",1.704022346,1.550985058,3.237642456,10,30,"MLRA 99OH_PT"
"99OH","PT","30-50cm",1.385892084,1.68297117,2.63319496,30,50,"MLRA 99OH_PT"
"99OH","PT","50-60cm",0.66110601,1.781968556,1.256101419,50,60,"MLRA 99OH_PT"
"99OH","NT","0-5cm",1.943511238,1.005344672,3.692671353,0,5,"MLRA 99OH_NT"
"99OH","NT","5-10 cm",1.552788945,1.501985722,2.950298995,5,10,"MLRA 99OH_NT"
"99OH","NT","10-30 cm",1.373415329,1.64035423,2.609489124,10,30,"MLRA 99OH_NT"
"99OH","NT","30-50cm",1.055285067,1.749994148,2.005041628,30,50,"MLRA 99OH_NT"
"99OH","NT","50-60cm",0.661051998,1.70932782,1.255998796,50,60,"MLRA 99OH_NT"
"124 OH","PT","0-5cm",1.180403678,1.40032954,2.242766988,0,5,"MLRA 124 OH_PT"
"124 OH","PT","5-10 cm",1.279011027,1.489462534,2.430120951,5,10,"MLRA 124 OH_PT"
"124 OH","PT","10-30 cm",1.147819451,1.544134954,2.180856958,10,30,"MLRA 124 OH_PT"
"124 OH","PT","30-50cm",0.806753405,1.738124754,1.53283147,30,50,"MLRA 124 OH_PT"
"124 OH","PT","50-60cm",0.773207677,1.691769322,1.469094586,50,60,"MLRA 124 OH_PT"
"124 OH","NT","0-5cm",1.934648403,1.321883092,3.675831966,0,5,"MLRA 124 OH_NT"
"124 OH","NT","5-10 cm",1.046861765,1.590286386,1.989037354,5,10,"MLRA 124 OH_NT"
"124 OH","NT","10-30 cm",0.741745202,1.779411534,1.409315884,10,30,"MLRA 124 OH_NT"
"124 OH","NT","30-50cm",0.439246061,1.945406042,0.834567515,30,50,"MLRA 124 OH_NT"
"124 OH","NT","50-60cm",0.154374452,1.960690466,0.293311458,50,60,"MLRA 124 OH_NT"
"139A OH","PT","0-5cm",0.907052564,0.974690026,1.723399871,0,5,"MLRA 139A OH_PT"
"139A OH","PT","5-10 cm",1.321179221,1.302866188,2.510240519,5,10,"MLRA 139A OH_PT"
"139A OH","PT","10-30 cm",1.217512995,1.379525458,2.31327469,10,30,"MLRA 139A OH_PT"
"139A OH","PT","30-50cm",0.815550703,1.516767276,1.549546335,30,50,"MLRA 139A OH_PT"
"139A OH","PT","50-60cm",0.576031126,1.74919694,1.094459139,50,60,"MLRA 139A OH_PT"
"139A OH","NT","0-5cm",3.157998339,0.657143744,6.000196844,0,5,"MLRA 139A OH_NT"
"139A OH","NT","5-10 cm",2.501660874,0.99646188,4.753155661,5,10,"MLRA 139A OH_NT"
"139A OH","NT","10-30 cm",1.958785716,1.206840366,3.721692861,10,30,"MLRA 139A OH_NT"
"139A OH","NT","30-50cm",0.815658352,1.438757934,1.549750869,30,50,"MLRA 139A OH_NT"
"139A OH","NT","50-60cm",0.68572571,1.520786456,1.302878848,50,60,"MLRA 139A OH_NT"
"140 PA","PT","0-5cm",2.512406445,1.107519382,4.773572246,0,5,"MLRA 140 PA_PT"
"140 PA","PT","5-10 cm",2.095315664,1.23327421,3.981099762,5,10,"MLRA 140 PA_PT"
"140 PA","PT","10-30 cm",1.903750991,1.288917232,3.617126882,10,30,"MLRA 140 PA_PT"
"140 PA","PT","30-50cm",1.024328608,1.5957909,1.946224355,30,50,"MLRA 140 PA_PT"
"140 PA","PT","50-60cm",0.499498107,1.660721048,0.949046403,50,60,"MLRA 140 PA_PT"
"140 PA","NT","0-5cm",3.509430307,0.661139566,6.667917584,0,5,"MLRA 140 PA_NT"
"140 PA","NT","5-10 cm",2.759998239,0.697690176,5.243996654,5,10,"MLRA 140 PA_NT"
"140 PA","NT","10-30 cm",2.25698688,1.04781075,4.288275073,10,30,"MLRA 140 PA_NT"
"140 PA","NT","30-50cm",1.356546623,1.36361281,2.577438584,30,50,"MLRA 140 PA_NT"
"140 PA","NT","50-60cm",0.728044378,1.750004982,1.383284318,50,60,"MLRA 140 PA_NT"
"139B PA","PT","0-5cm",1.675451264,1.253721824,3.183357401,0,5,"MLRA139B PA_PT"
"139B PA","PT","5-10 cm",1.67366382,1.433126732,3.179961257,5,10,"MLRA139B PA_PT"
"139B PA","PT","10-30 cm",1.565122832,1.354803994,2.97373338,10,30,"MLRA139B PA_PT"
"139B PA","PT","30-50cm",0.518975081,1.616995834,0.986052655,30,50,"MLRA139B PA_PT"
"139B PA","PT","50-60cm",0.264233512,1.521254758,0.502043674,50,60,"MLRA139B PA_PT"
"139B PA","NT","0-5cm",2.506304482,1.048448492,4.761978515,0,5,"MLRA139B PA_NT"
"139B PA","NT","5-10 cm",2.047424496,1.227853398,3.890106542,5,10,"MLRA139B PA_NT"
"139B PA","NT","10-30 cm",1.751941534,1.417342608,3.328688914,10,30,"MLRA139B PA_NT"
"139B PA","NT","30-50cm",0.705917056,1.474141538,1.341242406,30,50,"MLRA139B PA_NT"
"139B PA","NT","50-60cm",0.264171876,1.592681906,0.501926565,50,60,"MLRA139B PA_NT"
