,ID,prof,BD_g_cm3,SOC_pct,Lower_cm,Upper_cm,SOM_pct
0,Conventional,0–5,1.45,0.9730000000000001,5.0,0.0,1.8487
1,Conventional,5–15,1.61,0.6990000000000001,15.0,5.0,1.3281
2,Conventional,15–30,1.68,0.29300000000000004,30.0,15.0,0.5567000000000001
3,Conventional,30–50,1.64,0.18400000000000002,50.0,30.0,0.3496
4,Conventional,50–100,1.61,0.11599999999999999,100.0,50.0,0.22039999999999998
7,No Till,0–5,1.32,1.7930000000000001,5.0,0.0,3.4067000000000003
8,No Till,5–15,1.5,0.6920000000000001,15.0,5.0,1.3148
9,No Till,15–30,1.55,0.34500000000000003,30.0,15.0,0.6555
10,No Till,30–50,1.6,0.21400000000000002,50.0,30.0,0.4066
11,No Till,50–100,1.67,0.119,100.0,50.0,0.22609999999999997
14,Forest Succession,0–5,1.06,2.2399999999999998,5.0,0.0,4.255999999999999
15,Forest Succession,5–15,1.38,0.802,15.0,5.0,1.5238
16,Forest Succession,15–30,1.65,0.35200000000000004,30.0,15.0,0.6688000000000001
17,Forest Succession,30–50,1.57,0.211,50.0,30.0,0.4009
18,Forest Succession,50–100,1.63,0.13999999999999999,100.0,50.0,0.26599999999999996
