prof,ID,SOC_pct,BD_g_cm3,SOM_pct,Upper_cm,Lower_cm
0–20,CT_ungrazed,1.28,1.35,2.432,0,20
0–20,CT_grazed,1.19,1.36,2.261,0,20
0–20,NT_ungrazed,1.45,1.34,2.755,0,20
0–20,NT_grazed,1.42,1.38,2.698,0,20
0–20,Grass,1.64,1.38,3.116,0,20
20–40,CT_ungrazed,0.54,1.49,1.026,20,40
20–40,CT_grazed,0.58,1.49,1.102,20,40
20–40,NT_ungrazed,0.52,1.5,0.988,20,40
20–40,NT_grazed,0.49,1.46,0.931,20,40
20–40,Grass,0.55,1.41,1.045,20,40
40–60,CT_ungrazed,0.25,1.43,0.475,40,60
40–60,CT_grazed,0.33,1.45,0.627,40,60
40–60,NT_ungrazed,0.35,1.38,0.665,40,60
40–60,NT_grazed,0.3,1.4,0.57,40,60
40–60,Grass,0.26,1.41,0.494,40,60
60–90,CT_ungrazed,0.19,1.51,0.361,60,90
60–90,CT_grazed,0.18,1.5,0.342,60,90
60–90,NT_ungrazed,0.2,1.45,0.38,60,90
60–90,NT_grazed,0.19,1.44,0.361,60,90
60–90,Grass,0.18,1.48,0.342,60,90
90–120,CT_ungrazed,0.14,1.57,0.266,90,120
90–120,CT_grazed,0.15,1.56,0.285,90,120
90–120,NT_ungrazed,0.15,1.55,0.285,90,120
90–120,NT_grazed,0.14,1.54,0.266,90,120
90–120,Grass,0.13,1.54,0.247,90,120
120–150,CT_ungrazed,0.13,1.59,0.247,120,150
120–150,CT_grazed,0.13,1.55,0.247,120,150
120–150,NT_ungrazed,0.14,1.54,0.266,120,150
120–150,NT_grazed,0.13,1.6,0.247,120,150
120–150,Grass,0.12,1.51,0.228,120,150
