,ID,prof,site,SOC_pct,BD_g_cm3,Upper_cm,Lower_cm,SOM_pct
0,CT,0-10,NAEW,0.96,1.48,0.0,10.0,1.8239999999999998
1,CT,0-10,WARS,0.8300000000000001,1.55,0.0,10.0,1.577
2,CT,0-10,NWARS,1.8600000000000003,1.56,0.0,10.0,3.5340000000000003
3,CT,0-10,Delaware,1.8100000000000003,1.32,0.0,10.0,3.4390000000000005
4,CT,0-10,Coshocton,0.8800000000000001,1.6,0.0,10.0,1.6720000000000002
5,CT,0-10,Hoytville,2.34,1.56,0.0,10.0,4.446
6,NT,0-10,NAEW,2.92,1.41,0.0,10.0,5.548
7,NT,0-10,WARS,3.1300000000000003,1.44,0.0,10.0,5.947
8,NT,0-10,NWARS,3.3000000000000003,1.46,0.0,10.0,6.2700000000000005
9,NT,0-10,Delaware,1.79,1.49,0.0,10.0,3.401
10,NT,0-10,Coshocton,1.8399999999999999,1.48,0.0,10.0,3.4959999999999996
11,NT,0-10,Hoytville,2.54,1.46,0.0,10.0,4.826
12,WL,0-10,NAEW,5.670000000000001,0.96,0.0,10.0,10.773000000000001
13,WL,0-10,WARS,4.5200000000000005,1.0,0.0,10.0,8.588000000000001
14,WL,0-10,NWARS,6.9,0.84,0.0,10.0,13.11
15,WL,0-10,Delaware,3.3200000000000003,1.07,0.0,10.0,6.308
16,WL,0-10,Coshocton,3.28,1.21,0.0,10.0,6.231999999999999
17,WL,0-10,Hoytville,7.140000000000001,0.84,0.0,10.0,13.566
18,CT,10-20,NAEW,0.96,1.55,10.0,20.0,1.8239999999999998
19,CT,10-20,WARS,0.86,1.67,10.0,20.0,1.634
20,CT,10-20,NWARS,1.9600000000000002,1.55,10.0,20.0,3.724
21,CT,10-20,Delaware,1.31,1.39,10.0,20.0,2.489
22,CT,10-20,Coshocton,0.9199999999999999,1.63,10.0,20.0,1.7479999999999998
23,CT,10-20,Hoytville,2.37,1.55,10.0,20.0,4.503
24,NT,10-20,NAEW,0.8400000000000001,1.62,10.0,20.0,1.596
25,NT,10-20,WARS,0.8400000000000001,1.73,10.0,20.0,1.596
26,NT,10-20,NWARS,1.9000000000000001,1.57,10.0,20.0,3.61
27,NT,10-20,Delaware,0.97,1.59,10.0,20.0,1.843
28,NT,10-20,Coshocton,1.22,1.57,10.0,20.0,2.318
29,NT,10-20,Hoytville,1.87,1.57,10.0,20.0,3.553
30,WL,10-20,NAEW,1.34,1.41,10.0,20.0,2.546
31,WL,10-20,WARS,0.9199999999999999,1.24,10.0,20.0,1.7479999999999998
32,WL,10-20,NWARS,3.3600000000000003,1.04,10.0,20.0,6.384
33,WL,10-20,Delaware,1.74,1.35,10.0,20.0,3.306
34,WL,10-20,Coshocton,1.3800000000000001,1.51,10.0,20.0,2.622
35,WL,10-20,Hoytville,4.7700000000000005,1.04,10.0,20.0,9.063
36,CT,20-30,NAEW,0.5599999999999999,1.65,20.0,30.0,1.0639999999999998
37,CT,20-30,WARS,0.81,1.67,20.0,30.0,1.539
38,CT,20-30,NWARS,1.9100000000000001,1.62,20.0,30.0,3.629
39,CT,20-30,Delaware,0.8900000000000001,1.45,20.0,30.0,1.691
40,CT,20-30,Coshocton,0.97,1.63,20.0,30.0,1.843
41,CT,20-30,Hoytville,2.14,1.62,20.0,30.0,4.066
42,NT,20-30,NAEW,0.4,1.63,20.0,30.0,0.76
43,NT,20-30,WARS,0.6200000000000001,1.7,20.0,30.0,1.1780000000000002
44,NT,20-30,NWARS,1.4500000000000002,1.6,20.0,30.0,2.7550000000000003
45,NT,20-30,Delaware,0.61,1.63,20.0,30.0,1.159
46,NT,20-30,Coshocton,0.8300000000000001,1.58,20.0,30.0,1.577
47,NT,20-30,Hoytville,1.51,1.6,20.0,30.0,2.8689999999999998
48,WL,20-30,NAEW,0.8900000000000001,1.45,20.0,30.0,1.691
49,WL,20-30,WARS,0.5,1.46,20.0,30.0,0.95
50,WL,20-30,NWARS,1.59,1.36,20.0,30.0,3.021
51,WL,20-30,Delaware,0.96,1.53,20.0,30.0,1.8239999999999998
52,WL,20-30,Coshocton,0.9500000000000001,1.67,20.0,30.0,1.805
53,WL,20-30,Hoytville,2.87,1.36,20.0,30.0,5.453
54,CT,30-40,NAEW,0.29,1.7,30.0,40.0,0.5509999999999999
55,CT,30-40,WARS,0.78,1.7,30.0,40.0,1.482
56,CT,30-40,NWARS,1.06,1.64,30.0,40.0,2.014
57,CT,30-40,Delaware,0.52,1.6,30.0,40.0,0.988
58,CT,30-40,Coshocton,0.51,1.61,30.0,40.0,0.969
59,CT,30-40,Hoytville,1.6500000000000001,1.64,30.0,40.0,3.1350000000000002
60,NT,30-40,NAEW,0.38,1.61,30.0,40.0,0.722
61,NT,30-40,WARS,0.5599999999999999,1.6,30.0,40.0,1.0639999999999998
62,NT,30-40,NWARS,0.8900000000000001,1.57,30.0,40.0,1.691
63,NT,30-40,Delaware,0.52,1.56,30.0,40.0,0.988
64,NT,30-40,Coshocton,0.55,1.56,30.0,40.0,1.045
65,NT,30-40,Hoytville,0.81,1.57,30.0,40.0,1.539
66,WL,30-40,NAEW,0.58,1.61,30.0,40.0,1.1019999999999999
67,WL,30-40,WARS,0.53,1.45,30.0,40.0,1.007
68,WL,30-40,NWARS,1.04,1.49,30.0,40.0,1.976
69,WL,30-40,Delaware,0.6000000000000001,1.71,30.0,40.0,1.1400000000000001
70,WL,30-40,Coshocton,0.49000000000000005,1.8,30.0,40.0,0.931
71,WL,30-40,Hoytville,1.46,1.49,30.0,40.0,2.774
