,ID,Ref_ID,Upper_cm,Lower_cm,SOC_pct,SOC_Mass,SOM_pct,BD_g_cm3
1,all_t0,all_t0,0,15,2.59,45.8,4.921,1.178893179
2,all_t0,all_t0,15,30,1.89,37.7,3.591,1.329805996
3,all_t0,all_t0,30,60,0.79,37.3,1.501,1.573839662
4,all_t0,all_t0,60,90,0.4,22.3,0.76,1.858333333
5,all_t1,all_t0,0,15,2.48,43.8,4.712,1.177419355
6,all_t1,all_t0,15,30,1.67,34.1,3.173,1.361277445
7,all_t1,all_t0,30,60,0.79,34.8,1.501,1.46835443
8,all_t1,all_t0,60,90,0.4,18.4,0.76,1.533333333
9,CS1_t0,CS1_t0,0,15,2.88,50.7,5.472,1.173611111
10,CS1_t0,CS1_t0,15,30,2.03,40.3,3.857,1.323481117
11,CS1_t0,CS1_t0,30,60,1.09,45.3,2.071,1.385321101
12,CS1_t0,CS1_t0,60,90,0.62,27.2,1.178,1.462365591
13,CS1_t1,CS1_t0,0,15,2.38,42,4.522,1.176470588
14,CS1_t1,CS1_t0,15,30,1.56,31.9,2.964,1.363247863
15,CS1_t1,CS1_t0,30,60,0.68,30.2,1.292,1.480392157
16,CS1_t1,CS1_t0,60,90,0.43,19.3,0.817,1.496124031
17,CS2_t0,CS2_t0,0,15,2.38,39.9,4.522,1.117647059
18,CS2_t0,CS2_t0,15,30,1.93,37.5,3.667,1.295336788
19,CS2_t0,CS2_t0,30,60,0.86,35.8,1.634,1.387596899
20,CS2_t0,CS2_t0,60,90,0.49,21.2,0.931,1.442176871
21,CS2_t1,CS2_t0,0,15,2.14,37.2,4.066,1.158878505
22,CS2_t1,CS2_t0,15,30,1.45,30.8,2.755,1.416091954
23,CS2_t1,CS2_t0,30,60,0.73,34,1.387,1.552511416
24,CS2_t1,CS2_t0,60,90,0.38,18.5,0.722,1.622807018
25,CS3_t0,CS3_t0,0,15,2.5,44.9,4.75,1.197333333
26,CS3_t0,CS3_t0,15,30,1.86,36.9,3.534,1.322580645
27,CS3_t0,CS3_t0,30,60,0.81,35.4,1.539,1.456790123
28,CS3_t0,CS3_t0,60,90,0.48,20.6,0.912,1.430555556
29,CS3_t1,CS3_t0,0,15,2.33,41.9,4.427,1.198855508
30,CS3_t1,CS3_t0,15,30,1.6,32.7,3.04,1.3625
31,CS3_t1,CS3_t0,30,60,0.73,34.5,1.387,1.575342466
32,CS3_t1,CS3_t0,60,90,0.34,15.9,0.646,1.558823529
33,CS4_t0,CS4_t0,0,15,2.73,48.6,5.187,1.186813187
34,CS4_t0,CS4_t0,15,30,1.93,38.3,3.667,1.322970639
35,CS4_t0,CS4_t0,30,60,0.96,38.2,1.824,1.326388889
36,CS4_t0,CS4_t0,60,90,0.52,22.5,0.988,1.442307692
37,CS4_t1,CS4_t0,0,15,2.68,47.4,5.092,1.179104478
38,CS4_t1,CS4_t0,15,30,1.81,36.4,3.439,1.340699816
39,CS4_t1,CS4_t0,30,60,0.91,37.5,1.729,1.373626374
40,CS4_t1,CS4_t0,60,90,0.44,19.6,0.836,1.484848485
41,CS5_t0,CS5_t0,0,15,2.51,45.5,4.769,1.208499336
42,CS5_t0,CS5_t0,15,30,1.69,35.1,3.211,1.384615385
43,CS5_t0,CS5_t0,30,60,0.88,36,1.672,1.363636364
44,CS5_t0,CS5_t0,60,90,0.54,23.5,1.026,1.450617284
45,CS5_t1,CS5_t0,0,15,2.4,43,4.56,1.194444444
46,CS5_t1,CS5_t0,15,30,1.69,34,3.211,1.34122288
47,CS5_t1,CS5_t0,30,60,0.75,32,1.425,1.422222222
48,CS5_t1,CS5_t0,60,90,0.4,17.9,0.76,1.491666667
49,CS6_t0,CS6_t0,0,15,2.71,44.7,5.149,1.099630996
50,CS6_t0,CS6_t0,15,30,2.2,43.3,4.18,1.312121212
51,CS6_t0,CS6_t0,30,60,1.01,39.6,1.919,1.306930693
52,CS6_t0,CS6_t0,60,90,0.54,23.2,1.026,1.432098765
53,CS6_t1,CS6_t0,0,15,3.11,51.1,5.909,1.095391211
54,CS6_t1,CS6_t0,15,30,1.97,39.5,3.743,1.336717428
55,CS6_t1,CS6_t0,30,60,0.9,38.5,1.71,1.425925926
56,CS6_t1,CS6_t0,60,90,0.45,20.9,0.855,1.548148148
