years,prof,trt,SOC_pct,BD_g_cm3,SOM_pct,Upper_cm,Lower_cm,ID,Ref_ID
2000,0-5,CT,2.6,1.07,4.94,0,5,CT_2000,CT_2005
2000,0-5,BT,3,1.03,5.7,0,5,BT_2000,BT_2005
2000,0-5,NT,3,1.21,5.7,0,5,NT_2000,NT_2005
2000,10-May,CT,2.6,1.2,4.94,5,10,CT_2000,CT_2005
2000,10-May,BT,2.9,1.25,5.51,5,10,BT_2000,BT_2005
2000,10-May,NT,2.5,1.42,4.75,5,10,NT_2000,NT_2005
2000,20-Oct,CT,2.5,1.33,4.75,10,20,CT_2000,CT_2005
2000,20-Oct,BT,2.7,1.37,5.13,10,20,BT_2000,BT_2005
2000,20-Oct,NT,2.4,1.46,4.56,10,20,NT_2000,NT_2005
2000,20-30,CT,2.1,1.4,3.99,20,30,CT_2000,CT_2005
2000,20-30,BT,2.3,1.36,4.37,20,30,BT_2000,BT_2005
2000,20-30,NT,2,1.42,3.8,20,30,NT_2000,NT_2005
2000,30-45,CT,1.3,1.4,2.47,30,45,CT_2000,CT_2005
2000,30-45,BT,1.6,1.38,3.04,30,45,BT_2000,BT_2005
2000,30-45,NT,1.1,1.39,2.09,30,45,NT_2000,NT_2005
2000,45-60,CT,0.92,1.43,1.748,45,60,CT_2000,CT_2005
2000,45-60,BT,1.1,1.43,2.09,45,60,BT_2000,BT_2005
2000,45-60,NT,0.78,1.37,1.482,45,60,NT_2000,NT_2005
2005,0-5,CT,2.5,1.3,4.75,0,5,CT_2005,CT_2005
2005,0-5,BT,3,1.29,5.7,0,5,BT_2005,BT_2005
2005,0-5,NT,2.9,1.43,5.51,0,5,NT_2005,NT_2005
2005,10-May,CT,2.4,1.31,4.56,5,10,CT_2005,CT_2005
2005,10-May,BT,2.6,1.34,4.94,5,10,BT_2005,BT_2005
2005,10-May,NT,2.3,1.47,4.37,5,10,NT_2005,NT_2005
2005,20-Oct,CT,2.5,1.29,4.75,10,20,CT_2005,CT_2005
2005,20-Oct,BT,2.6,1.4,4.94,10,20,BT_2005,BT_2005
2005,20-Oct,NT,2.5,1.43,4.75,10,20,NT_2005,NT_2005
2005,20-30,CT,2.2,1.4,4.18,20,30,CT_2005,CT_2005
2005,20-30,BT,2.3,1.39,4.37,20,30,BT_2005,BT_2005
2005,20-30,NT,1.9,1.43,3.61,20,30,NT_2005,NT_2005
2005,30-45,CT,1.7,1.35,3.23,30,45,CT_2005,CT_2005
2005,30-45,BT,1.7,1.34,3.23,30,45,BT_2005,BT_2005
2005,30-45,NT,1.2,1.31,2.28,30,45,NT_2005,NT_2005
2005,45-60,CT,1.1,1.39,2.09,45,60,CT_2005,CT_2005
2005,45-60,BT,1.1,1.4,2.09,45,60,BT_2005,BT_2005
2005,45-60,NT,0.72,1.42,1.368,45,60,NT_2005,NT_2005
