,Upper_cm,Lower_cm,ID,SOC_pct,SOC_stock,BD_g_cm3,SOM_pct
0,0,5,NT,1.9300000000000002,13.1,1.3575129533678756,3.6670000000000003
1,0,5,DT,1.9300000000000002,12.9,1.3367875647668392,3.6670000000000003
2,0,5,MT,1.56,10.5,1.3461538461538463,2.964
3,5,10,NT,1.32,10.700000000000001,1.6212121212121215,2.508
4,5,10,DT,1.5,11.499999999999998,1.533333333333333,2.8499999999999996
5,5,10,MT,1.4000000000000001,10.3,1.4714285714285713,2.66
6,10,20,NT,1.33,19.999999999999996,1.5037593984962403,2.527
7,10,20,DT,1.46,20.9,1.4315068493150684,2.774
8,10,20,MT,1.3900000000000001,18.499999999999996,1.3309352517985606,2.641
9,20,30,NT,0.91,13.400000000000006,1.472527472527473,1.7289999999999999
10,20,30,DT,1.01,14.5,1.4356435643564356,1.9189999999999998
11,20,30,MT,1.16,17.0,1.4655172413793105,2.2039999999999997
12,30,40,NT,0.6000000000000001,8.399999999999991,1.3999999999999984,1.1400000000000001
13,30,40,DT,0.61,8.299999999999997,1.3606557377049175,1.159
14,30,40,MT,0.54,8.100000000000009,1.5000000000000013,1.026
15,40,50,NT,0.47000000000000003,6.400000000000006,1.3617021276595755,0.893
16,40,50,DT,0.49000000000000005,6.700000000000003,1.3673469387755106,0.931
17,40,50,MT,0.45,6.099999999999994,1.3555555555555543,0.855
18,50,70,NT,0.35000000000000003,9.400000000000006,1.3428571428571436,0.665
19,50,70,DT,0.39,10.799999999999997,1.3846153846153841,0.741
20,50,70,MT,0.37000000000000005,10.5,1.4189189189189189,0.7030000000000001
21,70,90,NT,0.27999999999999997,7.8999999999999915,1.4107142857142843,0.5319999999999999
22,70,90,DT,0.27,7.900000000000006,1.462962962962964,0.513
23,70,90,MT,0.31000000000000005,8.799999999999997,1.4193548387096766,0.5890000000000001
