prof,Site,trt,BD_g_cm3,SOC_pct,SOM_pct,Upper_cm,Lower_cm,ID,site
0-5,99 Temperence MI,WL,0.87,6.6,12.54,0,5,99_WL,99
0-5,99 Temperence MI,NT,1.43,3.07,5.833,0,5,99_NT,99
0-5,99 Temperence MI,PT,1.36,2.37,4.503,0,5,99_PT,99
10-May,99 Temperence MI,WL,0.99,5.64,10.716,5,10,99_WL,99
10-May,99 Temperence MI,NT,1.53,2.34,4.446,5,10,99_NT,99
10-May,99 Temperence MI,PT,1.35,2.36,4.484,5,10,99_PT,99
30-Oct,99 Temperence MI,WL,1.38,3.26,6.194,10,30,99_WL,99
30-Oct,99 Temperence MI,NT,1.7,1.97,3.743,10,30,99_NT,99
30-Oct,99 Temperence MI,PT,1.52,2.27,4.313,10,30,99_PT,99
30-50,99 Temperence MI,WL,1.62,1.01,1.919,30,50,99_WL,99
30-50,99 Temperence MI,NT,1.66,0.81,1.539,30,50,99_NT,99
30-50,99 Temperence MI,PT,1.62,1.41,2.679,30,50,99_PT,99
50-60,99 Temperence MI,WL,1.71,0.69,1.311,50,60,99_WL,99
50-60,99 Temperence MI,NT,1.74,0.63,1.197,50,60,99_NT,99
50-60,99 Temperence MI,PT,1.67,0.88,1.672,50,60,99_PT,99
0-5,111 Lenawee MI,WL,1.11,5.12,9.728,0,5,111_WL,111
0-5,111 Lenawee MI,NT,1.5,2.93,5.567,0,5,111_NT,111
0-5,111 Lenawee MI,PT,1.43,1.95,3.705,0,5,111_PT,111
10-May,111 Lenawee MI,WL,1.28,3.25,6.175,5,10,111_WL,111
10-May,111 Lenawee MI,NT,1.62,2.03,3.857,5,10,111_NT,111
10-May,111 Lenawee MI,PT,1.51,2,3.8,5,10,111_PT,111
30-Oct,111 Lenawee MI,WL,1.33,2.49,4.731,10,30,111_WL,111
30-Oct,111 Lenawee MI,NT,1.64,1.4,2.66,10,30,111_NT,111
30-Oct,111 Lenawee MI,PT,1.61,1.73,3.287,10,30,111_PT,111
30-50,111 Lenawee MI,WL,1.54,1.19,2.261,30,50,111_WL,111
30-50,111 Lenawee MI,NT,1.75,0.67,1.273,30,50,111_NT,111
30-50,111 Lenawee MI,PT,1.76,0.86,1.634,30,50,111_PT,111
50-60,111 Lenawee MI,WL,1.76,0.85,1.615,50,60,111_WL,111
50-60,111 Lenawee MI,NT,1.74,0.54,1.026,50,60,111_NT,111
50-60,111 Lenawee MI,PT,1.75,0.4,0.76,50,60,111_PT,111
0-5,124 Scioto OH,WL,0.3,7.25,13.775,0,5,124_WL,124
0-5,124 Scioto OH,NT,0.93,2.17,4.123,0,5,124_NT,124
0-5,124 Scioto OH,PT,0.77,2.66,5.054,0,5,124_PT,124
10-May,124 Scioto OH,WL,1.07,5.88,11.172,5,10,124_WL,124
10-May,124 Scioto OH,NT,1.88,1.75,3.325,5,10,124_NT,124
10-May,124 Scioto OH,PT,1.86,2.2,4.18,5,10,124_PT,124
30-Oct,124 Scioto OH,WL,1.65,3.8,7.22,10,30,124_WL,124
30-Oct,124 Scioto OH,NT,1.89,1.62,3.078,10,30,124_NT,124
30-Oct,124 Scioto OH,PT,1.93,2.27,4.313,10,30,124_PT,124
30-50,124 Scioto OH,WL,1.79,3.2,6.08,30,50,124_WL,124
30-50,124 Scioto OH,NT,1.87,1.53,2.907,30,50,124_NT,124
30-50,124 Scioto OH,PT,1.84,1.89,3.591,30,50,124_PT,124
50-60,124 Scioto OH,WL,1.79,3.13,5.947,50,60,124_WL,124
50-60,124 Scioto OH,NT,1.79,1.73,3.287,50,60,124_NT,124
50-60,124 Scioto OH,PT,1.83,1.95,3.705,50,60,124_PT,124
0-5,127 Salisbury PA,WL,1.26,3.02,5.738,0,5,127_WL,127
0-5,127 Salisbury PA,NT,1.25,3.65,6.935,0,5,127_NT,127
0-5,127 Salisbury PA,PT,1.61,2.18,4.142,0,5,127_PT,127
10-May,127 Salisbury PA,WL,1.47,2.25,4.275,5,10,127_WL,127
10-May,127 Salisbury PA,NT,1.5,2.31,4.389,5,10,127_NT,127
10-May,127 Salisbury PA,PT,1.57,1.99,3.781,5,10,127_PT,127
30-Oct,127 Salisbury PA,WL,1.51,1.8,3.42,10,30,127_WL,127
30-Oct,127 Salisbury PA,NT,1.56,1.56,2.964,10,30,127_NT,127
30-Oct,127 Salisbury PA,PT,1.42,1.75,3.325,10,30,127_PT,127
30-50,127 Salisbury PA,WL,1.68,1.38,2.622,30,50,127_WL,127
30-50,127 Salisbury PA,NT,1.73,0.97,1.843,30,50,127_NT,127
30-50,127 Salisbury PA,PT,1.8,0.86,1.634,30,50,127_PT,127
50-60,127 Salisbury PA,WL,1.73,0.71,1.349,50,60,127_WL,127
50-60,127 Salisbury PA,NT,1.75,0.88,1.672,50,60,127_NT,127
50-60,127 Salisbury PA,PT,1.77,0.64,1.216,50,60,127_PT,127
