study,site,lat,lon ,muname,N samples,notes,citation,Found through,Samples Notes
poffenbarger_2020,Nashua,,,"Kenyon loam, 0 to 2 percent slopes",18,,,,"3 replicates, 6 cores"
poffenbarger_2020,Kanawha,,,"Webster clay loam, 0 to 2 percent slopes",12,,,,"2 replicates, 6 cores"
Blanco-Canqui_2011,Hutchinson,,,"Ost loam, 0 to 1 percent slopes",8,,,,"4 replicates, 2 cores"
Blanco-Canqui_2011,Hays,,,"Harney silt loam, 0 to 1 percent slopes",8,,,,"4 replicates, 2 cores"
chatterjee_2009,99,,,"Pewamo clay loam, 0 to 2 percent slopes",3,,,,"Each sampling site considered a ""psuedo-replicate"""
chatterjee_2009,111,,,"Hoytville silty clay loam, 0 to 1 percent slopes",3,,,,"Each sampling site considered a ""psuedo-replicate"""
chatterjee_2009,124,,,Genesee loam,3,,,,"Each sampling site considered a ""psuedo-replicate"""
chatterjee_2009,127,,,"Cookport loam, 3 to 8 percent slopes",3,,,,"Each sampling site considered a ""psuedo-replicate"""
Blanco_Canqui(2008),122KY,37.00204,-85.92639,,3,,,,
Blanco_Canqui(2008),125KY,37.43145,-83.99323,,3,,,,
Blanco_Canqui(2008),99OH,41.35932,-83.08683,,3,,,,
Blanco_Canqui(2008),124 OH,38.97298,-82.78978,,3,,,,
Blanco_Canqui(2008),139A OH,,,"Chili loam, 2 to 6 percent slopes",3,Spatial Query failed for this site,,,
Blanco_Canqui(2008),139B PA,41.22136,-80.07592,,3,,,,
Blanco_Canqui(2008),140 PA,41.82268,-76.862,,3,,,,
Venterea_2006,,,,"Waukegan silt loam, 0 to 2 percent slopes",60,,,,"6 replicates, 10 samples from each"
Devine_2014,,33.933715,-83.356535,,16,Location of Horsehoe-bend research station from google maps,,,"Appears to be 4 replicates, 4 samples per replicate"
Van_doren_1986,,,,"Wooster silt loam, 2 to 6 percent slopes",30,,,,"10 cores per plot, 3 plots per treatment"
mishra_2010,NAEW,,,"Westmoreland silt loam, 3 to 8 percent slopes",4,,,,"""A total of 288#samples (six sites, three land uses per site and four replications per land use at four depths) were collected for the study"
mishra_2010,WARS,,,"Crosby silt loam, 0 to 2 percent slopes",4,,,,"""A total of 288#samples (six sites, three land uses per site and four replications per land use at four depths) were collected for the study"
mishra_2010,NWARS,,,"Hoytville silty clay loam, 0 to 1 percent slopes",4,,,,"""A total of 288#samples (six sites, three land uses per site and four replications per land use at four depths) were collected for the study"
mishra_2010,Delaware,,,"Glynwood silt loam, 0 to 2 percent slopes",4,,,,"""A total of 288#samples (six sites, three land uses per site and four replications per land use at four depths) were collected for the study"
mishra_2010,Coshocton,,,"Allegheny silt loam, 0 to 3 percent slopes",4,,,,"""A total of 288#samples (six sites, three land uses per site and four replications per land use at four depths) were collected for the study"
mishra_2010,Hoytville,,,"Hoytville clay loam, 0 to 1 percent slopes",4,,,,"""A total of 288#samples (six sites, three land uses per site and four replications per land use at four depths) were collected for the study"
Sainju_2013,,,,"Dooley sandy loam, 0 to 4 percent slopes",20,,,,"4 replicates, 5 samples from each"
Sanford_2012,,43.29586,-89.38068,,,,,,
Yang_1999,,,,"Thorp silt loam, 0 to 2 percent slopes",24,,doi:10.1016/s0167-1987(99)00051-3 ,doi.org/10.1038/s41598-019-47861-7,"8 replicates, 3 samples per plot"
